#Name,a,year
" 15760 (1992 QB1)",43.89799615603241	,1992 
" 15788 (1993 SB)",39.44504130270598	,1993 
" 15789 (1993 SC)",39.49656382142236	,1993 
" 15807 (1994 GV9)",43.92595285884958	,1994 
" 15809 (1994 JS)",42.08916323673944	,1994 
" 15810 (1994 JR1)",39.26473840008283	,1994 
" 15820 (1994 TB)",39.53329604554448	,1994 
" 15836 (1995 DA2)",36.61645842668343	,1995 
" 15874 (1996 TL66)",84.00149731646107	,1996 
" 15875 (1996 TP66)",39.54316366325752	,1996 
" 15883 (1997 CR29)",47.35443248895153	,1997 
" 16684 (1994 JQ1)",44.11085672199867	,1994 
" 19255 (1994 VK8)",43.00355044504641	,1994 
" 19299 (1996 SZ4)",39.66989016934387	,1996 
" 19308 (1996 TO66)",43.23282485522726	,1996 
" 19521 Chaos (1998 WH24)",45.93728424834111	,1998 
" 20000 Varuna (2000 WR106)",43.19387441553436	,2000 
" 20108 (1995 QZ9)",39.45691993768359	,1995 
" 20161 (1996 TR66)",47.71470906669207	,1996 
" 24835 (1995 SM55)",41.88492866843608	,1995 
" 24952 (1997 QJ4)",39.37529357718563	,1997 
" 24978 (1998 HJ151)",43.30784541083806	,1998 
" 26181 (1996 GQ21)",93.87346660827265	,1996 
" 26308 (1998 SM165)",47.59830259144721	,1998 
" 26375 (1999 DE9)",55.93612802373172	,1999 
" 28978 Ixion (2001 KX76)",39.41999361876776	,2001 
" 29981 (1999 TD10)",97.23298001707646	,1999 
" 32929 (1995 QY9)",39.63040500521749	,1995 
" 33001 (1997 CU29)",43.71413077799322	,1997 
" 33128 (1998 BU48)",33.44726709831627	,1998 
" 33340 (1998 VG44)",39.50050842641036	,1998 
" 35671 (1998 SN165)",37.8486894550172	,1998 
" 38083 Rhadamanthus (1999 HX11)",39.12139298674491	,1999 
" 38084 (1999 HB12)",55.82541541522104	,1999 
" 38628 Huya (2000 EB173)",39.48221054746175	,2000 
" 40314 (1999 KR16)",48.81476644870868	,1999 
" 42301 (2001 UR163)",51.46826059202579	,2001 
" 42355 Typhon (2002 CR46)",38.17613573402244	,2002 
" 44594 (1999 OX3)",32.15737893714132	,1999 
" 45802 (2000 PV29)",43.2692363114358	,2000 
" 47171 (1999 TC36)",39.40351917975376	,1999 
" 47932 (2000 GN171)",39.44061691825328	,2000 
" 48639 (1995 TL8)",52.53899374494244	,1995 
" 49673 (1999 RA215)",42.99635378881863	,1999 
" 50000 Quaoar (2002 LM60)",43.25864948316779	,2002 
" 52747 (1998 HM151)",44.3371348665957	,1998 
" 53311 Deucalion (1999 HU11)",44.1580738251843	,1999 
" 54520 (2000 PJ30)",122.3068915001827	,2000 
" 55565 (2002 AW197)",47.50747155598051	,2002 
" 55636 (2002 TX300)",43.21965232834987	,2002 
" 55637 (2002 UX25)",42.72097588056492	,2002 
" 55638 (2002 VE95)",39.48611738841421	,2002 
" 58534 Logos (1997 CQ29)",45.49406636566994	,1997 
" 59358 (1999 CL158)",41.74857724088892	,1999 
" 60454 (2000 CH105)",44.54682374464053	,2000 
" 60458 (2000 CM114)",60.07701232042908	,2000 
" 60608 (2000 EE173)",49.74022254345756	,2000 
" 60620 (2000 FD8)",43.87641715638746	,2000 
" 60621 (2000 FE8)",55.68762523692971	,2000 
" 65407 (2002 RP120)",54.88756476555105	,2002 
" 65489 Ceto (2003 FX128)",102.2772131449798	,2003 
" 66452 (1999 OF4)",44.77499134506397	,1999 
" 66652 Borasisi (1999 RZ253)",43.58335165151961	,1999 
" 69986 (1998 WW24)",39.58988858939609	,1998 
" 69987 (1998 WA25)",42.6277053116938	,1998 
" 69988 (1998 WA31)",55.20038174948916	,1998 
" 69990 (1998 WU31)",39.3764237753367	,1998 
" 73480 (2002 PN34)",30.838557472412	,2002 
" 76803 (2000 PK30)",38.49441917225106	,2000 
" 78799 (2002 XW93)",37.60652920335546	,2002 
" 79360 Sila-Nunam (1997 CS29)",44.1475958341432	,1997 
" 79969 (1999 CP133)",35.06273943857259	,1999 
" 79978 (1999 CC158)",54.33687945146566	,1999 
" 79983 (1999 DF9)",46.72012451220978	,1999 
" 80806 (2000 CM105)",42.42681579347038	,2000 
" 82075 (2000 YW134)",58.32071192261316	,2000 
" 82155 (2001 FZ173)",86.17650285773693	,2001 
" 82157 (2001 FM185)",38.7596936316783	,2001 
" 82158 (2001 FP185)",222.8895152317402	,2001 
" 84522 (2002 TC302)",55.46971433825367	,2002 
" 84719 (2002 VR128)",39.42639739100257	,2002 
" 84922 (2003 VS2)",39.54914160532432	,2003 
" 85627 (1998 HP151)",43.95326297438628	,1998 
" 85633 (1998 KR65)",43.33896205029043	,1998 
" 86047 (1999 OY3)",43.67995389953803	,1999 
" 86177 (1999 RY215)",45.10790485197437	,1999 
" 87269 (2000 OO67)",544.1823017369559	,2000 
" 87555 (2000 QB243)",34.76549775404074	,2000 
" 88267 (2001 KE76)",42.94527382038246	,2001 
" 88268 (2001 KK76)",42.41058077821061	,2001 
" 88611 Teharonhiawako (2001 QT297)",43.86273446194308	,2001 
" 90377 Sedna (2003 VB12)",524.3892826367038	,2003 
" 90482 Orcus (2004 DW)",39.45974796563077	,2004 
" 90568 (2004 GV9)",42.05822056335769	,2004 
" 91133 (1998 HK151)",39.31329013473403	,1998 
" 91205 (1998 US43)",39.38678980633625	,1998 
" 91554 (1999 RZ215)",100.7816861802483	,1999 
" 95625 (2002 GX32)",53.11187963454261	,2002 
"118228 (1996 TQ66)",39.49236885539447	,1996 
"118378 (1999 HT11)",43.81380592442839	,1999 
"118379 (1999 HC12)",45.38367163195251	,1999 
"118698 (2000 OY51)",43.43837060308571	,2000 
"118702 (2000 OM67)",97.56134306940329	,2000 
"119066 (2001 KJ76)",43.60599403493226	,2001 
"119067 (2001 KP76)",43.4674369053592	,2001 
"119068 (2001 KC77)",55.02196614521399	,2001 
"119069 (2001 KN77)",39.06543612877388	,2001 
"119070 (2001 KP77)",43.6187220785263	,2001 
"119473 (2001 UO18)",39.70041223690362	,2001 
"119878 (2002 CY224)",54.38834915975409	,2002 
"119951 (2002 KX14)",38.76338929525344	,2002 
"119956 (2002 PA149)",43.47082549501602	,2002 
"119979 (2002 WC19)",48.15133035111224	,2002 
"120132 (2003 FY128)",49.67867739468637	,2003 
"120178 (2003 OP32)",43.04407531576882	,2003 
"120181 (2003 UR292)",32.36921230091842	,2003 
"120216 (2004 EW95)",39.50267314660139	,2004 
"120347 Salacia (2004 SB60)",41.9066736373106	,2004 
"120348 (2004 TY364)",38.87287148909661	,2004 
"123509 (2000 WK183)",44.55775249503213	,2000 
"126154 (2001 YH140)",42.63476036958917	,2001 
"126155 (2001 YJ140)",39.71708667765517	,2001 
"126619 (2002 CX154)",72.13822131662975	,2002 
"126719 (2002 CC249)",47.32564870740341	,2002 
"127546 (2002 XU93)",67.61726436033929	,2002 
"127871 (2003 FC128)",35.14180458327396	,2003 
"129746 (1999 CE119)",39.48294054498452	,1999 
"129772 (1999 HR11)",43.80200598765324	,1999 
"130391 (2000 JG81)",47.44733511430169	,2000 
"131318 (2001 FL194)",39.38973512137759	,2001 
"131695 (2001 XS254)",37.46299750931376	,2001 
"131696 (2001 XT254)",53.47243605591729	,2001 
"131697 (2001 XH255)",35.1503469207199	,2001 
"133067 (2003 FB128)",39.67251364325097	,2003 
"134210 (2005 PQ21)",61.69172164630323	,2005 
"134340 Pluto (1930 )",39.4450697257358	,1930 
"134568 (1999 RH215)",43.49715109320101	,1999 
"134860 (2000 OJ67)",42.67526490174122	,2000 
"135024 (2001 KO76)",43.66585993155552	,2001 
"135182 (2001 QT322)",37.00200086985	,2001 
"135571 (2002 GG32)",55.27095651137472	,2002 
"135742 (2002 PB171)",43.47748424426477	,2002 
"136108 Haumea (2003 EL61)",43.21759116399876	,2003 
"136120 (2003 LG7)",62.19942967137089	,2003 
"136199 Eris (2003 UB313)",67.78077417200119	,2003 
"136472 Makemake (2005 FY9)",45.71462727466309	,2005 
"137294 (1999 RE215)",44.79317305084643	,1999 
"137295 (1999 RB216)",47.50606670605706	,1999 
"138537 (2000 OK67)",46.36188015102106	,2000 
"138628 (2000 QM251)",44.63854924462795	,2000 
"139775 (2001 QG298)",39.30025075532759	,2001 
"143685 (2003 SS317)",36.42276731250664	,2003 
"143707 (2003 UY117)",55.57139261001797	,2003 
"143751 (2003 US292)",42.18550324455598	,2003 
"143991 (2003 YO179)",44.83430443899226	,2003 
"144897 (2004 UX10)",39.00076849698858	,2004 
"145451 (2005 RM43)",91.09802875074257	,2005 
"145452 (2005 RN43)",41.37155551941084	,2005 
"145453 (2005 RR43)",43.28953562166471	,2005 
"145474 (2005 SA278)",92.92241654785066	,2005 
"145480 (2005 TB190)",75.28256620262323	,2005 
"148112 (1999 RA216)",43.83882015097321	,1999 
"148209 (2000 CR105)",230.1151595739463	,2000 
"148780 Altjira (2001 UQ18)",44.35171272196187	,2001 
"149348 (2002 VS130)",45.19264109144674	,2002 
"149349 (2002 VA131)",42.36981136481918	,2002 
"149560 (2003 QZ91)",41.34987343174845	,2003 
"150642 (2001 CZ31)",45.51094152851785	,2001 
"160091 (2000 OL67)",44.93695449208347	,2000 
"160147 (2001 KN76)",43.74993857036235	,2001 
"160148 (2001 KV76)",69.58221002719287	,2001 
"160256 (2002 PD149)",42.83778526409812	,2002 
"168700 (2000 GE147)",39.47126828022861	,2000 
"168703 (2000 GP183)",39.85427007478852	,2000 
"169071 (2001 FR185)",39.29163285661192	,2001 
"174567 Varda (2003 MW12)",45.68389214371236	,2003 
"175113 (2004 PF115)",38.83385189093597	,2004 
"181708 (1993 FW)",43.84256118753685	,1993 
"181855 (1998 WT31)",46.18824448336413	,1998 
"181867 (1999 CV118)",53.26748080652251	,1999 
"181868 (1999 CG119)",49.96559399164357	,1999 
"181871 (1999 CO153)",43.97720025784454	,1999 
"181874 (1999 HW11)",52.90668591170579	,1999 
"181902 (1999 RD215)",121.944922031793	,1999 
"182222 (2000 YU1)",43.75583578070997	,2000 
"182223 (2000 YC2)",58.66678537604325	,2000 
"182294 (2001 KU76)",45.01675164655852	,2001 
"182397 (2001 QW297)",51.43899758577113	,2001 
"182926 (2002 FU6)",46.00493934277935	,2002 
"182933 (2002 GZ31)",50.44451701059712	,2002 
"182934 (2002 GJ32)",44.31526998563914	,2002 
"183595 (2003 TG58)",44.74768066800387	,2003 
"183963 (2004 DJ64)",44.60166272920553	,2004 
"183964 (2004 DJ71)",53.61248627845249	,2004 
"184212 (2004 PB112)",106.8592408725571	,2004 
"184314 (2005 EO302)",45.27108098577304	,2005 
"202421 (2005 UQ513)",43.29605253611084	,2005 
"208996 (2003 AZ84)",39.6785244115344	,2003 
"225088 (2007 OR10)",66.84726942371793	,2007 
"229762 (2007 UK126)",74.01016938506761	,2007 
"230965 (2004 XA192)",47.36932418651109	,2004 
"241097 (2007 DU112)",40.59403498712131	,2007 
"275809 (2001 QY297)",43.67320395940055	,2001 
"278361 (2007 JJ43)",47.94398060865159	,2007 
"303712 (2005 PR21)",44.00427561633104	,2005 
"303775 (2005 QU182)",110.7655829045624	,2005 
"305543 (2008 QY40)",61.75317607108955	,2008 
"306792 (2001 KQ77)",39.44116188740765	,2001 
"307251 (2002 KW14)",46.65388002576042	,2002 
"307261 (2002 MS4)",41.63899717494724	,2002 
"307463 (2002 VU130)",39.30825775251744	,2002 
"307616 (2003 QW90)",43.70338239946363	,2003 
"307982 (2004 PG115)",89.32690316588493	,2004 
"308193 (2005 CB79)",43.62845937854895	,2005 
"308379 (2005 RS43)",47.71237796059715	,2005 
"308460 (2005 SC278)",34.78844756052942	,2005 
"308634 (2005 XU100)",43.69866187457892	,2005 
"308933 (2006 SQ372)",742.4199549538473	,2006 
"309239 (2007 RW10)",30.19561119217004	,2007 
"310071 (2010 KR59)",30.22391468154044	,2010 
"312645 (2010 EP65)",47.88734409910523	,2010 
"315530 (2008 AP129)",42.06025693951431	,2008 
"316179 (2010 EN65)",30.86083119222037	,2010 
"336756 (2010 NV1)",322.6077283126078	,2010 
"341520 (2007 TY430)",39.2500984797099	,2007 
"353222 (2009 YD7)",128.167055669214	,2009 
"363330 (2002 PQ145)",43.64242932473641	,2002 
"363401 (2003 LB7)",45.57835473829392	,2003 
"364171 (2006 JZ81)",44.79340810782815	,2006 
"385185 (1993 RO)",39.24681621192376	,1993 
"385191 (1997 RT5)",41.22294223791862	,1997 
"385194 (1998 KG62)",43.23548651085223	,1998 
"385199 (1999 OE4)",45.15686336547716	,1999 
"385201 (1999 RN215)",43.12454396339122	,1999 
"385266 (2001 QB298)",42.45745562926013	,2001 
"385362 (2002 PT170)",46.09072228972416	,2002 
"385363 (2002 PW170)",44.70615350758069	,2002 
"385437 (2003 GH55)",44.23274939111359	,2003 
"385445 (2003 QH91)",39.29182310683027	,2003 
"385446 Manwe (2003 QW111)",43.58968805786566	,2003 
"385447 (2003 QF113)",43.65533540307435	,2003 
"385458 (2003 SP317)",45.85851329825145	,2003 
"385527 (2004 OK14)",43.5889151388458	,2004 
"385528 (2004 OR15)",55.95880131427644	,2004 
"385533 (2004 QD29)",42.89045802672859	,2004 
"385571 (2004 UP10)",30.1277365996962	,2004 
"385607 (2005 EO297)",63.33155927076369	,2005 
"385695 (2005 TO74)",30.12280092364857	,2005 
"386723 (2009 YE7)",44.40768271043152	,2009 
"408832 (2001 QJ298)",43.94082164428416	,2001 
"413666 (2005 VJ119)",35.34790237260392	,2005 
"       (1993 RP)",39.32915816691289	,1993 
"       (1994 ES2)",46.05412212475544	,1994 
"       (1994 EV3)",42.91417485723209	,1994 
"       (1994 TG)",42.2566142015222	,1994 
"       (1994 TH)",40.94243406270702	,1994 
"       (1994 TG2)",42.44889368631713	,1994 
"       (1995 DB2)",46.73781545240431	,1995 
"       (1995 DC2)",44.33465032395341	,1995 
"       (1995 FB21)",42.42506420677353	,1995 
"       (1995 GJ)",42.90307030239703	,1995 
"       (1995 GA7)",39.45185981626433	,1995 
"       (1995 GY7)",41.34574063391436	,1995 
"       (1995 HM5)",39.58342689712918	,1995 
"       (1995 KJ1)",43.46927079604143	,1995 
"       (1995 KK1)",39.47305226934023	,1995 
"       (1995 WY2)",46.71849106021779	,1995 
"       (1995 YY3)",34.43394519143845	,1995 
"       (1996 AS20)",35.79289860608271	,1996 
"       (1996 KV1)",45.07069619421208	,1996 
"       (1996 KX1)",39.54060173068502	,1996 
"       (1996 KY1)",39.51635493916923	,1996 
"       (1996 PW)",263.8478778998567	,1996 
"       (1996 RQ20)",43.89419613124779	,1996 
"       (1996 RR20)",39.43882907837074	,1996 
"       (1996 TK66)",42.60518095953513	,1996 
"       (1996 TS66)",44.02132974192743	,1996 
"       (1997 CT29)",44.00125264469531	,1997 
"       (1997 CV29)",42.45348038042489	,1997 
"       (1997 CW29)",39.37530429999995	,1997 
"       (1997 GA45)",43.88713233177998	,1997 
"       (1997 QH4)",42.65213216898365	,1997 
"       (1997 RY6)",41.36034247994576	,1997 
"       (1997 RX9)",41.50622320530752	,1997 
"       (1997 RL13)",44.52128166931075	,1997 
"       (1997 SZ10)",47.92249521950104	,1997 
"       (1997 TX8)",39.31754238168764	,1997 
"       (1997 UF25)",44.89483905571043	,1997 
"       (1997 UG25)",43.31045467271338	,1997 
"       (1998 FS144)",41.96720384639343	,1998 
"       (1998 HH151)",39.40812841403298	,1998 
"       (1998 HL151)",40.82048642075555	,1998 
"       (1998 HN151)",38.07631732433519	,1998 
"       (1998 HO151)",41.4962864238855	,1998 
"       (1998 HQ151)",39.38372403053432	,1998 
"       (1998 HR151)",45.50564283716601	,1998 
"       (1998 KY61)",44.18064332243404	,1998 
"       (1998 KS65)",43.59886089795194	,1998 
"       (1998 KD66)",43.07607863004272	,1998 
"       (1998 KE66)",42.05758090566525	,1998 
"       (1998 KF66)",39.50235767763014	,1998 
"       (1998 KG66)",45.19504303999479	,1998 
"       (1998 UR43)",39.64857728700318	,1998 
"       (1998 UU43)",36.565008823406	,1998 
"       (1998 WG24)",45.86076598516374	,1998 
"       (1998 WV24)",39.06792872100015	,1998 
"       (1998 WX24)",43.43446276736957	,1998 
"       (1998 WY24)",43.42361151771587	,1998 
"       (1998 WZ24)",39.47836173534242	,1998 
"       (1998 WS31)",39.50654647718551	,1998 
"       (1998 WV31)",39.29997550434047	,1998 
"       (1998 WW31)",44.76352579065019	,1998 
"       (1998 WX31)",45.66923497557291	,1998 
"       (1998 WY31)",45.44498301341822	,1998 
"       (1998 WZ31)",39.69164871741008	,1998 
"       (1998 XY95)",64.89445333982148	,1998 
"       (1999 CW118)",43.45282333045638	,1999 
"       (1999 CX118)",43.6623197427902	,1999 
"       (1999 CY118)",91.51746085430554	,1999 
"       (1999 CZ118)",118.4375219543634	,1999 
"       (1999 CA119)",45.15063570040751	,1999 
"       (1999 CB119)",47.1847545824555	,1999 
"       (1999 CC119)",44.99154444938443	,1999 
"       (1999 CD119)",43.99348605394253	,1999 
"       (1999 CF119)",90.30750456111267	,1999 
"       (1999 CH119)",43.54842849074425	,1999 
"       (1999 CJ119)",45.65663325879583	,1999 
"       (1999 CK119)",42.08347864199202	,1999 
"       (1999 CL119)",47.17852688599658	,1999 
"       (1999 CM119)",44.21128042880271	,1999 
"       (1999 CN119)",44.01411009506519	,1999 
"       (1999 CW131)",43.1467834921981	,1999 
"       (1999 CX131)",42.52016867178238	,1999 
"       (1999 CY131)",43.92412899868113	,1999 
"       (1999 CZ131)",44.41161402106322	,1999 
"       (1999 CA132)",43.96606505339681	,1999 
"       (1999 CQ133)",41.55727739019519	,1999 
"       (1999 CR133)",42.25149726481263	,1999 
"       (1999 CM153)",46.01970957281787	,1999 
"       (1999 CN153)",42.5941390637795	,1999 
"       (1999 CP153)",44.24290081241838	,1999 
"       (1999 CQ153)",44.33420032469957	,1999 
"       (1999 CR153)",43.12248000115827	,1999 
"       (1999 CS153)",44.78443366759181	,1999 
"       (1999 CT153)",45.11540367250425	,1999 
"       (1999 CU153)",44.47900490140129	,1999 
"       (1999 CG154)",42.98652866277914	,1999 
"       (1999 CH154)",43.29249429454995	,1999 
"       (1999 CD158)",43.89939483955195	,1999 
"       (1999 CK158)",41.07947247032913	,1999 
"       (1999 CM158)",39.66522767254837	,1999 
"       (1999 DA)",43.51809466936643	,1999 
"       (1999 DZ7)",39.41337921067446	,1999 
"       (1999 DA8)",39.31843263944963	,1999 
"       (1999 DB8)",42.50964286924971	,1999 
"       (1999 DC8)",45.88616172851483	,1999 
"       (1999 DD8)",39.40692776254158	,1999 
"       (1999 DE8)",45.60673125631904	,1999 
"       (1999 DF8)",44.16450289163289	,1999 
"       (1999 DG8)",82.22281989804416	,1999 
"       (1999 DH8)",44.38172081220527	,1999 
"       (1999 DL8)",42.51615336351009	,1999 
"       (1999 DM8)",42.88440405195167	,1999 
"       (1999 DN8)",44.3406011200784	,1999 
"       (1999 DO8)",41.79349920942185	,1999 
"       (1999 DP8)",115.77256542455	,1999 
"       (1999 DQ8)",45.32036266840039	,1999 
"       (1999 DR8)",45.52243510125989	,1999 
"       (1999 GS46)",44.67637758780269	,1999 
"       (1999 HS11)",44.18982935218543	,1999 
"       (1999 HV11)",43.01467625262861	,1999 
"       (1999 HY11)",42.15877159600418	,1999 
"       (1999 HZ11)",42.38248864922829	,1999 
"       (1999 HA12)",43.13990827894615	,1999 
"       (1999 HG12)",43.67764899850211	,1999 
"       (1999 HH12)",43.64522711900234	,1999 
"       (1999 HJ12)",43.04887941994673	,1999 
"       (1999 JA132)",44.5403138770832	,1999 
"       (1999 JB132)",39.53488004787216	,1999 
"       (1999 JC132)",39.5292657673814	,1999 
"       (1999 JD132)",43.32720262133315	,1999 
"       (1999 JE132)",39.44021216507548	,1999 
"       (1999 JF132)",44.46219237394532	,1999 
"       (1999 JH132)",42.00662823422898	,1999 
"       (1999 JJ132)",45.79248843162645	,1999 
"       (1999 JK132)",39.33942248048648	,1999 
"       (1999 KT16)",46.41490237142891	,1999 
"       (1999 KK17)",45.54162537036716	,1999 
"       (1999 KL17)",46.24536304854769	,1999 
"       (1999 KR18)",43.46063868747871	,1999 
"       (1999 LB37)",39.494199930984	,1999 
"       (1999 OZ3)",44.01133215840725	,1999 
"       (1999 OA4)",44.22217906493085	,1999 
"       (1999 OC4)",45.26997640167564	,1999 
"       (1999 OD4)",41.27809244261918	,1999 
"       (1999 OG4)",46.79848931008327	,1999 
"       (1999 OH4)",40.32648514201053	,1999 
"       (1999 OJ4)",37.89506418441407	,1999 
"       (1999 OK4)",43.11482889394136	,1999 
"       (1999 OM4)",45.79807262053772	,1999 
"       (1999 ON4)",42.47280076808746	,1999 
"       (1999 RS214)",42.96521759235027	,1999 
"       (1999 RT214)",42.36901001253677	,1999 
"       (1999 RU214)",55.42507179871021	,1999 
"       (1999 RV214)",45.03199910000001	,1999 
"       (1999 RW214)",42.83459610548223	,1999 
"       (1999 RX214)",46.02218153647188	,1999 
